id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,room_type
34917013,Champions Final! FREE Beer+Transfer,80687756,Inola,Salamanca,Fuente del Berro,40,-3,600,1,0,01/01/2019,0,1,353,Private room
34917572,Habitación en el centro de Madrid,119987200,Carlos,Arganzuela,Acacias,40,-3,55,2,1,03/06/2019,0.28,1,0,Private room
34918130,Piso particular solo se alquila para estas fechas,234746368,Alba,Carabanchel,Puerta Bonita,40,-3,350,1,0,01/01/2019,0,1,89,Entire home/apt
34918429,2 habitaciones Ortega y Gasset final de Champions,99018982,Alterhome,Salamanca,Lista,40,-3,450,1,0,01/01/2019,0,110,0,Private room
34918889,Hab. 2 camas en Chamberí. A 20 minutos del centro,263158494,Carolina,Chamberí,Almagro,40,-3,25,1,6,14/09/2019,3.67,1,291,Shared room
34919022,Alojamiento ideal final champions league.,186906497,José Alfredo,Vicálvaro,Casco Histórico de Vicálvaro,40,-3,400,1,0,01/01/2019,0,1,364,Private room
34919602,Apartment Letters,201741093,Your.Rentals,Centro,Cortes,40,-3,220,1,1,17/07/2019,0.46,7,334,Entire home/apt
34919642,Welcome Retiro Park Charme,201741093,Your.Rentals,Retiro,Pacífico,40,-3,121,1,0,01/01/2019,0,7,340,Entire home/apt
34920045,Disfruta la final de la Champions League.,263162785,Yubiri,San Blas - Canillejas,Simancas,40,-3,280,1,0,01/01/2019,0,1,365,Private room
34920480,Amazing 3 bedroom/2bathroom full equiped apartment,263165601,Enrique,Chamartín,Prosperidad,40,-3,1075,2,0,01/01/2019,0,1,365,Entire home/apt
34921416,Welcome Marques de Zafra,201741093,Your.Rentals,Salamanca,Fuente del Berro,40,-3,125,1,0,01/01/2019,0,7,344,Entire home/apt
34922275,APARTAMENTO CON ENCANTO EN SOL - MADRID #C,262418161,Maria,Centro,Sol,40,-3,120,2,3,03/09/2019,1.91,4,212,Entire home/apt
34922664,Wanda Metropolitano 2O minutes walk from the House,180459263,Laura,San Blas - Canillejas,Hellín,40,-3,80,1,1,02/06/2019,0.27,1,13,Private room
34922936,Cozy and quiet apartment in Barrio de las Letras,121980622,Lola,Centro,Cortes,40,-3,97,1,12,05/09/2019,3.64,34,57,Entire home/apt
34922960,Habitación tranquila en el corazón de Malasaña,6427181,Ariane,Centro,Universidad,40,-3,25,8,2,25/05/2019,0.49,1,0,Private room
34923115,Large apartment in Quintana,169431029,Mario,Ciudad Lineal,Concepción,40,-3,61,1,6,16/07/2019,1.64,3,281,Entire home/apt
34923255,Loft/Estudio Madrid,87678823,Jose Angel,Villaverde,Los Rosales,40,-3,45,1,1,28/08/2019,1,1,54,Entire home/apt
34923291,APARTAMENTO CON ENCANTO EN SOL - MADRID #D,262418161,Maria,Centro,Sol,40,-3,110,2,0,01/01/2019,0,4,258,Entire home/apt
34924200,CHAMPIONS LEAGUE!!apartament 400e negotiable rate,263181607,Pablo,Retiro,Ibiza,40,-3,400,1,0,01/01/2019,0,1,365,Entire home/apt
34924640,Two double rooms opposite the Royal Palace,7818612,Sonia,Moncloa - Aravaca,Argüelles,40,-3,500,1,0,01/01/2019,0,1,90,Private room
34924837,New and cosy apartment 1 min from Metro station,131621333,Annika,Carabanchel,Vista Alegre,40,-3,60,2,4,11/08/2019,2.07,1,272,Entire home/apt
34925036,DÚPLEX ATOCHA DELUXE,258850169,Sonali,Puente de Vallecas,Numancia,40,-3,200,1,13,15/09/2019,3.9,8,334,Entire home/apt
34925146,EUFA CHAMPIONS LEAGUE FINAL MAY31-JUNE1,133624002,Richard,San Blas - Canillejas,Simancas,40,-3,300,1,0,01/01/2019,0,1,365,Private room
34925171,Ensuite private room beside Wanda Stadium,17449333,Helena,San Blas - Canillejas,Rosas,40,-3,57,1,4,08/07/2019,1.09,1,0,Private room
34925666,CHEAP ROOM 10 min to STADIUM Wanda Metropolitano,131962556,Pablo,Barajas,Timón,40,-3,170,1,0,01/01/2019,0,2,180,Private room
34927870,Habitación doble privada en complejo residencial.,237828105,Laura,San Blas - Canillejas,Rejas,40,-3,55,1,7,17/08/2019,1.78,1,358,Private room
34928393,Piso para 6 personas en Calle Lagasca,66642457,Eloy,Salamanca,Castellana,40,-3,500,2,0,01/01/2019,0,1,365,Private room
34928445,Salón con dos sofás,166016192,Leonela,Ciudad Lineal,Pueblo Nuevo,40,-3,150,1,0,01/01/2019,0,1,90,Private room
34928690,FLAT/ FINAL CHAMPIONS LEAGUE / LIVERPOOL TOTTENHAM,263207015,Adrian,San Blas - Canillejas,Arcos,40,-3,600,1,0,01/01/2019,0,1,261,Private room
34928839,Pequeño hogar en pleno centro de Madrid (gran vía),69381155,Elisa,Centro,Universidad,40,-3,200,2,1,22/05/2019,0.25,2,0,Entire home/apt
