price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,room_type
200,3,14,0.78,1,360,Entire home/apt
65,2,12,0.15,3,0,Private room
115,2,177,2.17,3,0,Entire home/apt
62,3,32,0.85,1,329,Entire home/apt
40,3,532,6.59,1,97,Private room
49,14,76,0.96,2,177,Entire home/apt
140,3,68,0.86,5,143,Entire home/apt
60,2,1,0.01,2,230,Private room
155,2,50,0.64,6,0,Entire home/apt
30,1,16,0.2,1,0,Private room
65,4,26,0.54,1,0,Entire home/apt
59,3,96,1.37,8,317,Entire home/apt
107,3,43,0.75,8,317,Entire home/apt
57,3,121,2.46,8,62,Entire home/apt
67,3,138,2.14,8,318,Entire home/apt
68,3,100,1.4,8,318,Entire home/apt
95,5,49,0.8,1,83,Entire home/apt
70,3,76,0.94,3,329,Entire home/apt
48,1,2,0.07,1,0,Private room
140,3,297,3.65,2,312,Entire home/apt
60,1,254,3.24,4,310,Entire home/apt
40,3,125,1.84,1,99,Private room
49,2,289,3.53,1,311,Entire home/apt
31,2,39,1.33,1,0,Entire home/apt
40,1,29,0.64,10,359,Private room
55,4,212,2.7,2,265,Entire home/apt
80,5,31,0.53,30,358,Hotel room
70,2,1,0.01,3,333,Entire home/apt
64,15,19,0.24,1,323,Entire home/apt
100,2,170,2.32,1,65,Entire home/apt
30,2,73,1.09,1,306,Private room
70,1,1,0.01,3,336,Entire home/apt
25,2,68,0.9,5,140,Private room
75,3,123,1.56,1,49,Entire home/apt
28,1,21,0.33,7,351,Private room
32,1,16,0.26,7,351,Private room
24,1,537,6.98,1,154,Private room
140,3,97,1.27,13,33,Entire home/apt
42,60,2,0.03,1,0,Entire home/apt
40,1,5,0.06,1,228,Private room
105,4,50,0.64,1,244,Entire home/apt
38,1,4,0.06,7,360,Private room
50,1,11,0.17,7,342,Hotel room
19,2,60,0.94,11,109,Private room
19,1,62,0.78,11,201,Private room
90,3,300,3.81,6,82,Entire home/apt
69,14,136,1.7,1,152,Entire home/apt
61,15,2,0.08,18,222,Hotel room
80,2,6,0.08,1,0,Entire home/apt
60,1,137,2.26,1,350,Entire home/apt
39,5,58,0.82,1,123,Entire home/apt
75,15,2,0.08,18,190,Hotel room
61,15,0,0,18,208,Hotel room
200,1,1,0.2,18,362,Private room
221,1,1,0.01,18,365,Private room
75,15,0,0,18,0,Hotel room
61,15,2,0.09,18,254,Hotel room
72,1,283,3.59,1,110,Entire home/apt
55,2,47,0.59,4,324,Entire home/apt
19,2,6,0.08,1,262,Private room
120,25,8,0.1,1,201,Entire home/apt
120,3,83,1.26,2,327,Entire home/apt
30,1,23,0.38,1,183,Private room
50,2,66,0.92,1,3,Entire home/apt
49,29,71,0.89,2,357,Entire home/apt
135,2,287,3.63,10,319,Entire home/apt
89,2,295,3.81,10,286,Entire home/apt
132,2,262,3.39,10,293,Entire home/apt
90,4,143,1.8,1,51,Entire home/apt
35,1,13,0.25,3,0,Private room
20,1,20,0.38,1,306,Private room
60,2,67,0.86,2,42,Entire home/apt
130,3,116,1.57,1,0,Entire home/apt
94,2,11,0.15,10,335,Entire home/apt
80,13,58,0.73,1,306,Entire home/apt
120,3,158,2.01,2,0,Entire home/apt
45,2,405,5.19,11,148,Private room
68,1,131,1.66,3,183,Entire home/apt
66,1,368,4.6,23,149,Entire home/apt
120,2,82,1.05,6,50,Entire home/apt
150,3,36,0.46,1,195,Entire home/apt
220,5,14,0.19,17,225,Entire home/apt
73,5,83,1.06,1,191,Entire home/apt
72,3,239,3.03,1,46,Entire home/apt
37,2,3,0.07,4,359,Private room
